radius_m,t0_s,method,recovered,recovered_snr,offset_ms,chi2_reduced,n_local_candidates
100,1765924787.4215963,raw,True,44.11273412065542,-0.33020973205566406,0.7488604535240888,31
100,1765924787.4215963,highpass,True,27.005255951522123,0.19407272338867188,0.9968387373592148,2
100,1765924787.4215963,dc_fft_swap,False,,,,5
100,1765924787.4215963,dc_detrend,True,41.479460296113004,-0.33020973205566406,0.6621237071470756,31
100,1765924787.4215963,dc_despike,True,46.88226508825739,-0.33020973205566406,0.8458436949177958,27
100,1765924787.4215963,highpass_despike,True,28.147147404762485,0.19407272338867188,1.082921773370043,2
100,1765924692.200151,raw,True,32.40525339263255,-0.5958080291748047,0.4497596205077306,32
100,1765924692.200151,highpass,True,26.0341005790543,-0.5958080291748047,0.572405407088107,2
100,1765924692.200151,dc_fft_swap,False,,,,4
100,1765924692.200151,dc_detrend,True,30.47084811856619,-0.5958080291748047,0.3976662218631381,32
100,1765924692.200151,dc_despike,True,34.439753284169775,-0.5958080291748047,0.5080069824021588,32
100,1765924692.200151,highpass_despike,True,27.134927654990467,-0.5958080291748047,0.6218360656534975,2
100,1765924481.2277117,raw,True,41.78224230642063,-1.1234283447265625,1.767112825439639,28
100,1765924481.2277117,highpass,True,22.977535134810235,-1.1234283447265625,1.4464874826703666,3
100,1765924481.2277117,dc_fft_swap,False,,,,3
100,1765924481.2277117,dc_detrend,True,39.28808529735264,-1.1234283447265625,1.5624370193686565,29
100,1765924481.2277117,dc_despike,True,44.40545794404072,-1.1234283447265625,1.9959676526815149,25
100,1765924481.2277117,highpass_despike,True,23.949118260482884,-1.1234283447265625,1.57140039926688,3
100,1765924795.3444257,raw,True,32.77056083970727,-2.2165775299072266,1.1985914310935204,32
100,1765924795.3444257,highpass,True,27.90940048075327,-2.2165775299072266,1.8406942576456768,3
100,1765924795.3444257,dc_fft_swap,False,,,,4
100,1765924795.3444257,dc_detrend,True,33.758528096452075,-2.2165775299072266,0.9454612791896831,35
100,1765924795.3444257,dc_despike,True,34.82799583847684,-2.2165775299072266,1.3538183248988191,23
100,1765924795.3444257,highpass_despike,False,,,,1
100,1765924642.997248,raw,True,33.69612695758336,2.0728111267089844,0.7670821960688888,33
100,1765924642.997248,highpass,True,23.897476431445764,1.0242462158203125,1.217069807160576,3
100,1765924642.997248,dc_fft_swap,False,,,,4
100,1765924642.997248,dc_detrend,True,27.56046522292364,2.0728111267089844,0.7604001891149332,35
100,1765924642.997248,dc_despike,True,35.811671798717484,2.0728111267089844,0.8664252945594954,35
100,1765924642.997248,highpass_despike,True,24.907958396144295,1.0242462158203125,1.3221711240646978,3
100,1765924676.8336046,raw,True,34.84845538775634,1.1665821075439453,0.6603786881173402,33
100,1765924676.8336046,highpass,True,26.095926835357066,0.6422996520996094,1.0114300912739482,2
100,1765924676.8336046,dc_fft_swap,False,,,,4
100,1765924676.8336046,dc_detrend,True,32.768205155537224,1.1665821075439453,0.5838903403691514,35
100,1765924676.8336046,dc_despike,True,37.03634689558047,1.1665821075439453,0.7459028540945243,33
100,1765924676.8336046,highpass_despike,True,27.199368175486274,0.6422996520996094,1.0987731786826747,2
100,1765924470.422168,raw,True,34.10706953801078,0.9417533874511719,0.5258588427152595,23
100,1765924470.422168,highpass,True,25.955982541486286,0.9417533874511719,0.8990399088583524,2
100,1765924470.422168,dc_fft_swap,False,,,,3
100,1765924470.422168,dc_detrend,True,32.0710757317634,0.9417533874511719,0.46495125324907693,20
100,1765924470.422168,dc_despike,True,36.2484145981766,0.9417533874511719,0.5939616445684872,24
100,1765924470.422168,highpass_despike,True,27.053506470820068,0.9417533874511719,0.9766774262911613,2
100,1765924742.1133084,raw,True,44.20733870024317,-0.4870891571044922,0.5879083131198503,23
100,1765924742.1133084,highpass,True,27.910777014071495,0.03719329833984375,0.5674154849486975,1
100,1765924742.1133084,dc_fft_swap,True,15.923256624826704,0.5614757537841797,0.35827059344541223,4
100,1765924742.1133084,dc_detrend,True,41.568417532182494,-0.4870891571044922,0.5198138450409939,23
100,1765924742.1133084,dc_despike,True,46.982809229698816,-0.4870891571044922,0.6640470030190831,23
100,1765924742.1133084,highpass_despike,True,29.090957560513207,0.03719329833984375,0.6164152336476075,1
100,1765924764.6363142,raw,True,35.057094266596835,-1.6531944274902344,0.5643153922470199,19
100,1765924764.6363142,highpass,True,27.69511496238836,-1.1289119720458984,0.6970955804685998,1
100,1765924764.6363142,dc_fft_swap,True,48.533712644048606,-238.10696601867676,0.65213056977023,4
100,1765924764.6363142,dc_detrend,True,32.964389506011145,-1.6531944274902344,0.4989535737351309,19
